TIME,TIMESTAMP,SiteOutput,CorrConcA_Avg,CorrConcB_Avg,Corrdel13C_Avg,licor
14:35:40,24/10/2013 14:35:40,9,400.618,4.443626,-7.851039,H4
14:36:00,24/10/2013 14:36:00,10,377.4679,4.190277,-7.038143,H4
14:36:20,24/10/2013 14:36:20,3,773.4662,8.334067,-36.20307,H4
14:36:40,24/10/2013 14:36:40,4,322.6214,3.477764,-35.77833,H4
14:37:00,24/10/2013 14:37:00,9,400.6636,4.444422,-7.786115,H4
14:37:20,24/10/2013 14:37:20,10,377.5918,4.191328,-7.114944,H4
14:37:40,24/10/2013 14:37:40,3,773.479,8.334484,-36.17076,H4
14:38:00,24/10/2013 14:38:00,4,322.6949,3.478095,-35.90605,H4
14:38:20,24/10/2013 14:38:20,9,400.401,4.441213,-7.852374,H4
14:38:40,24/10/2013 14:38:40,10,377.3199,4.188511,-7.067261,H4
14:39:00,24/10/2013 14:39:00,3,773.3757,8.332755,-36.24201,H4
14:39:20,24/10/2013 14:39:20,4,322.5618,3.476614,-35.91897,H4
14:39:40,24/10/2013 14:39:40,9,400.3066,4.44032,-7.818003,H4
14:40:00,24/10/2013 14:40:00,10,377.223,4.187441,-7.065889,H4
14:40:20,24/10/2013 14:40:20,3,773.4313,8.333948,-36.17345,H4
14:40:40,24/10/2013 14:40:40,4,322.6195,3.477433,-35.86451,H4
14:41:00,24/10/2013 14:41:00,9,400.5302,4.442553,-7.872997,H4
14:41:20,24/10/2013 14:41:20,10,377.3964,4.188929,-7.169434,H4
14:41:40,24/10/2013 14:41:40,3,773.3599,8.332808,-36.21616,H4
14:42:00,24/10/2013 14:42:00,4,322.6203,3.477096,-35.9604,H4
14:42:20,24/10/2013 14:42:20,9,400.5,4.442498,-7.810665,H4
14:42:40,24/10/2013 14:42:40,10,377.3477,4.188419,-7.162098,H4
14:59:00,24/10/2013 14:59:00,3,773.342,8.332994,-36.17251,H4
14:59:20,24/10/2013 14:59:20,4,322.5842,3.476846,-35.92189,H4
14:59:40,24/10/2013 14:59:40,9,401.0466,4.448588,-7.804463,H4
15:00:00,24/10/2013 15:00:00,10,368.6902,4.093723,-6.822824,H4
15:00:20,24/10/2013 15:00:20,3,773.6035,8.335457,-36.21347,H4
15:00:40,24/10/2013 15:00:40,4,322.8222,3.479751,-35.8276,H4
15:01:00,24/10/2013 15:01:00,9,400.26,4.43981,-7.816408,H4
15:01:20,24/10/2013 15:01:20,10,367.5428,4.080315,-6.985217,H4
15:01:40,24/10/2013 15:01:40,3,773.5676,8.334906,-36.23249,H4
15:02:00,24/10/2013 15:02:00,4,322.7232,3.477709,-36.09782,H4
15:02:20,24/10/2013 15:02:20,9,400.0649,4.438277,-7.675187,H4
15:02:40,24/10/2013 15:02:40,10,366.825,4.073016,-6.821992,H4
15:03:00,24/10/2013 15:03:00,3,772.9638,8.329246,-36.13449,H4
15:03:20,24/10/2013 15:03:20,4,322.3247,3.474315,-35.84797,H4
15:03:40,24/10/2013 15:03:40,9,400.3807,4.441495,-7.738977,H4
15:04:00,24/10/2013 15:04:00,10,366.726,4.072128,-6.770601,H4
15:04:20,24/10/2013 15:04:20,3,773.5491,8.334497,-36.25645,H4
15:04:40,24/10/2013 15:04:40,4,322.6139,3.477418,-35.85202,H4
15:05:00,24/10/2013 15:05:00,9,400.4499,4.442181,-7.757248,H4
15:05:20,24/10/2013 15:05:20,10,366.4871,4.069175,-6.843568,H4
15:20:20,24/10/2013 15:20:20,3,773.4253,8.333035,-36.27135,H4
15:20:40,24/10/2013 15:20:40,4,322.611,3.477131,-35.92268,H4
15:21:00,24/10/2013 15:21:00,9,398.9842,4.426212,-7.692186,H4
15:21:20,24/10/2013 15:21:20,10,380.6013,4.22437,-7.200433,H4
15:21:40,24/10/2013 15:21:40,3,773.3715,8.333494,-36.15117,H4
15:22:00,24/10/2013 15:22:00,4,322.9613,3.481216,-35.83728,H4
15:22:20,24/10/2013 15:22:20,9,399.1027,4.427485,-7.701571,H4
15:22:40,24/10/2013 15:22:40,10,380.7504,4.225815,-7.249808,H4
15:23:00,24/10/2013 15:23:00,3,774.0284,8.339446,-36.28151,H4
15:23:20,24/10/2013 15:23:20,4,322.6331,3.477619,-35.85342,H4
15:23:40,24/10/2013 15:23:40,9,400.7249,4.445221,-7.759531,H4
15:24:00,24/10/2013 15:24:00,10,382.3061,4.243359,-7.184982,H4
15:24:20,24/10/2013 15:24:20,3,773.2634,8.331851,-36.20656,H4
15:24:40,24/10/2013 15:24:40,4,322.589,3.47693,-35.91269,H4
15:25:00,24/10/2013 15:25:00,9,398.403,4.419908,-7.660093,H4
15:25:20,24/10/2013 15:25:20,10,380.0198,4.217764,-7.236215,H4
15:25:40,24/10/2013 15:25:40,3,773.183,8.331533,-36.143,H4
15:26:00,24/10/2013 15:26:00,4,322.4272,3.475067,-35.94587,H4
15:26:20,24/10/2013 15:26:20,9,399.8437,4.43603,-7.628811,H4
15:26:40,24/10/2013 15:26:40,10,381.3052,4.23231,-7.170491,H4
15:27:00,24/10/2013 15:27:00,3,773.2234,8.33159,-36.18701,H4
15:27:20,24/10/2013 15:27:20,4,322.5217,3.476933,-35.71059,H4
15:27:40,24/10/2013 15:27:40,9,399.6607,4.433489,-7.742997,H4
15:28:00,24/10/2013 15:28:00,10,381.3679,4.232574,-7.271742,H4
